flow_id,source_node,destination_node,data_type,sovereignty_status
FLOW-001,EU_Legacy_Server,EU_Sovereign_Cloud,PII_Customer_Data,Safe
FLOW-002,UK_Legacy_Server,Global_Analytics_Lake,PII_Customer_Data,VIOLATION: UK Data leaving UK
FLOW-003,UK_Legacy_Server,Global_Analytics_Lake,PII_Customer_Data,VIOLATION: UK Data leaving UK
FLOW-004,EU_Legacy_Server,UK_Sovereign_Cloud,Anonymous_Network_Telemetry,Safe
FLOW-005,UK_Legacy_Server,Global_Analytics_Lake,Anonymous_Network_Telemetry,Safe
FLOW-006,UK_Legacy_Server,Global_Analytics_Lake,Anonymous_Network_Telemetry,Safe
FLOW-007,UK_Legacy_Server,EU_Sovereign_Cloud,PII_Customer_Data,VIOLATION: UK Data leaving UK
FLOW-008,EU_Legacy_Server,Global_Analytics_Lake,Anonymous_Network_Telemetry,Safe
FLOW-009,EU_Legacy_Server,UK_Sovereign_Cloud,Anonymous_Network_Telemetry,Safe
FLOW-010,EU_Legacy_Server,EU_Sovereign_Cloud,Anonymous_Network_Telemetry,Safe
FLOW-011,UK_Legacy_Server,Global_Analytics_Lake,Anonymous_Network_Telemetry,Safe
FLOW-012,EU_Legacy_Server,EU_Sovereign_Cloud,Anonymous_Network_Telemetry,Safe
FLOW-013,EU_Legacy_Server,EU_Sovereign_Cloud,PII_Customer_Data,Safe
FLOW-014,UK_Legacy_Server,Global_Analytics_Lake,Anonymous_Network_Telemetry,Safe
FLOW-015,EU_Legacy_Server,Global_Analytics_Lake,Anonymous_Network_Telemetry,Safe
FLOW-016,UK_Legacy_Server,EU_Sovereign_Cloud,Anonymous_Network_Telemetry,Safe
FLOW-017,UK_Legacy_Server,Global_Analytics_Lake,Anonymous_Network_Telemetry,Safe
FLOW-018,UK_Legacy_Server,EU_Sovereign_Cloud,PII_Customer_Data,VIOLATION: UK Data leaving UK
FLOW-019,UK_Legacy_Server,Global_Analytics_Lake,PII_Customer_Data,VIOLATION: UK Data leaving UK
FLOW-020,EU_Legacy_Server,Global_Analytics_Lake,PII_Customer_Data,VIOLATION: EU Data leaving EU
FLOW-021,UK_Legacy_Server,EU_Sovereign_Cloud,PII_Customer_Data,VIOLATION: UK Data leaving UK
FLOW-022,UK_Legacy_Server,Global_Analytics_Lake,Anonymous_Network_Telemetry,Safe
FLOW-023,UK_Legacy_Server,UK_Sovereign_Cloud,Anonymous_Network_Telemetry,Safe
FLOW-024,UK_Legacy_Server,Global_Analytics_Lake,Anonymous_Network_Telemetry,Safe
FLOW-025,UK_Legacy_Server,UK_Sovereign_Cloud,Anonymous_Network_Telemetry,Safe
FLOW-026,UK_Legacy_Server,Global_Analytics_Lake,PII_Customer_Data,VIOLATION: UK Data leaving UK
FLOW-027,EU_Legacy_Server,EU_Sovereign_Cloud,PII_Customer_Data,Safe
FLOW-028,EU_Legacy_Server,Global_Analytics_Lake,PII_Customer_Data,VIOLATION: EU Data leaving EU
FLOW-029,EU_Legacy_Server,UK_Sovereign_Cloud,PII_Customer_Data,VIOLATION: EU Data leaving EU
FLOW-030,UK_Legacy_Server,EU_Sovereign_Cloud,Anonymous_Network_Telemetry,Safe
FLOW-031,EU_Legacy_Server,Global_Analytics_Lake,Anonymous_Network_Telemetry,Safe
FLOW-032,EU_Legacy_Server,Global_Analytics_Lake,Anonymous_Network_Telemetry,Safe
FLOW-033,EU_Legacy_Server,EU_Sovereign_Cloud,Anonymous_Network_Telemetry,Safe
FLOW-034,UK_Legacy_Server,UK_Sovereign_Cloud,PII_Customer_Data,Safe
FLOW-035,EU_Legacy_Server,Global_Analytics_Lake,Anonymous_Network_Telemetry,Safe
FLOW-036,UK_Legacy_Server,UK_Sovereign_Cloud,Anonymous_Network_Telemetry,Safe
FLOW-037,UK_Legacy_Server,Global_Analytics_Lake,PII_Customer_Data,VIOLATION: UK Data leaving UK
FLOW-038,UK_Legacy_Server,Global_Analytics_Lake,Anonymous_Network_Telemetry,Safe
FLOW-039,EU_Legacy_Server,UK_Sovereign_Cloud,Anonymous_Network_Telemetry,Safe
FLOW-040,EU_Legacy_Server,EU_Sovereign_Cloud,Anonymous_Network_Telemetry,Safe
